nombre,descripcion,municipio_id
MINISUPER/VTA DE BEBIDA ALCOHOLICAS MENORES 12 EN B/C,N/A,Chalco
INDUSTRIALIZACION DE CAFE MOLIDO ENVASADO,N/A,Chalco
CARPINTERIA,N/A,Chalco
Herreria,N/A,Chalco
ABARROTES AL POR MENOR (TIENDITAS MISCELANEAS/CON VENTA DE BE.ALC MAYOR 12 EN B.C),N/A,Chalco
TALLER AUTOMOTRIZ,N/A,Chalco
SUCURSAL BANCARIAS,N/A,Chalco
VENTA DE PINTURAS,N/A,Chalco
LABORATORIOS DE ANALISIS,N/A,Chalco
COMPRA Y VENTA DE METALES Y DESECHOS INDUSTRIALES,N/A,Chalco
EXPENDIÃ“ DE NARANJAS,N/A,Chalco
ESTABLECIMIENTO DE EDUCACION ELEMENTAL/PRIMARIA,N/A,Chalco
MINISUPER/VTA DE BEBIDA ALCOHOLICAS MAYOR 12 EN B/C,N/A,Chalco
PERFUMERIA Y FARMACIA,N/A,Chalco
TALLER DE SOLDADURA EN GENERAL,N/A,Chalco
BAZAR,N/A,Chalco
"DULCES, CARAMELOS Y SIMILARES",N/A,Chalco
VTA. DE REFACCIONES PARA MOTORES INDUSTRIALES Y EMBOBINADOS,N/A,Chalco
AGRICULTURA(SIEMBRE DE MAIZ),N/A,Chalco
FAB. DE TABICON Y/O TABIQUERIA Y VTA DE MATERIA PARA CONSTRUCCION,N/A,Chalco
VETERINARIO,N/A,Chalco
ABARROTES AL POR MENOR (TENDITAS MISCELANEAS/CON VENTA DE BE.ALC MENOR 12 EN B.C),N/A,Chalco
MINISUPER/VTA DE BEBIDA ALCOHOLICAS MENORES 12 EN B/C,N/A,Chalco
ABARROTES AL POR MENOR (TIENDITAS MISCELANEAS/CON VENTA DE BE.ALC MAYOR 12 EN B.C),N/A,Chalco
MINISUPER/VTA DE BEBIDA ALCOHOLICAS MAYOR 12 EN B/C,N/A,Chalco
CAFETERIA / VENTA DE BEBIDA + 12 GL,N/A,Chalco
/ VENTA DE BEBIDA - 12 GL,N/A,Chalco
TAQUERIA / VENTA DE BEBIDA AL COPEO,N/A,Chalco
FONDA/COCINA ECONOMICA/VTA DE BEB. AL COPEO,N/A,Chalco
LONCHERIA/VTA DE BEB. AL COPEO,N/A,Chalco
RESTAURANTE/VTA DE BEB. AL COPEO,N/A,Chalco
PULQUERIA/VTA DE BEB. AL COPEO,N/A,Chalco
BOTANERO/VTA DE BEB. AL COPEO,N/A,Chalco
HOTEL /VTA DE BEB. AL COPEO,N/A,Chalco
POSADAS/VTA DE BEB. AL COPEO,N/A,Chalco
CENTRO CERVECERO/VTA DE BEB. AL COPEO,N/A,Chalco
VINATERIA,N/A,Chalco
CENTRO COMERCIALES /VTA DE BEBIDAS ALHOLICAS,N/A,Chalco
BILLAR/VTA DE BEB. AL COPEO,N/A,Chalco
BOLICHE/VTA DE BEB. AL COPEO,N/A,Chalco
DISCOTECA/VTA DE BEB. AL COPEO,N/A,Chalco
