nombre,descripcion,municipio_id
LIMPIEZA DE SOMBREROS Y ARTÍCULOS DE GAMUZA,N/A,Tenango del Valle
MADERERÍAS,N/A,Tenango del Valle
CARPINTERÍAS,N/A,Tenango del Valle
MANTENIMIENTO DE TELEVISORES VIDEOCASETERAS Y SIMILARES,N/A,Tenango del Valle
SERVICIOS DE ALOJAMIENTO TEMPORAL,N/A,Tenango del Valle
"SALONES DE BELLEZA, PELUQUERÍA Y ESTÉTICA ",N/A,Tenango del Valle
SERVICIO DE VELACIÓN Y FUNERARIO (SIN CREMACIÓN),N/A,Tenango del Valle
TLAPALERÍAS,N/A,Tenango del Valle
VENTA DE MERCANCÍAS POR CATÁLOGO,N/A,Tenango del Valle
FONDAS (SIN VENTA DE ALCOHOL),N/A,Tenango del Valle
LONCHERÍAS,N/A,Tenango del Valle
NEVERÍAS,N/A,Tenango del Valle
TORTERÍAS,N/A,Tenango del Valle
EXPENDIO DE REFRESCOS,N/A,Tenango del Valle
TAQUERÍAS,N/A,Tenango del Valle
PIZZERÍAS,N/A,Tenango del Valle
HAMBURGUESAS,N/A,Tenango del Valle
PLANTAS DE ORNATO,N/A,Tenango del Valle
FLORERÍAS,N/A,Tenango del Valle
MATERIAS PRIMAS Y ARTÍCULOS DE FIESTA,N/A,Tenango del Valle
TIENDA DE DEPORTES,N/A,Tenango del Valle
CENTRO DE VENTAS TELEFÓNICAS,N/A,Tenango del Valle
INDUSTRIAL,N/A,Tenango del Valle
LLANTAS,N/A,Tenango del Valle
REFACCIONARIAS,N/A,Tenango del Valle
TALLERES ELÉCTRICOS,N/A,Tenango del Valle
TORNOS,N/A,Tenango del Valle
MECÁNICOS,N/A,Tenango del Valle
SOLDADURA,N/A,Tenango del Valle
HOJALATERÍA Y PINTURA,N/A,Tenango del Valle
RECTIFICACIONES DE MOTORES,N/A,Tenango del Valle
ALINEACIÓN Y BALANCEO,N/A,Tenango del Valle
REPARACIÓN DE MOFLES,N/A,Tenango del Valle
RADIADORES,N/A,Tenango del Valle
AUTOPARTES Y ACCESORIOS,N/A,Tenango del Valle
LOTES DE AUTOS,N/A,Tenango del Valle
LAVADO Y ENGRASADO,N/A,Tenango del Valle
AUTLAVADO DE VEHÍCULOS,N/A,Tenango del Valle
FRUTAS Y LEGUMBRES (CENTROS COMERCIALES),N/A,Tenango del Valle
CARNES (CENTROS COMERCIALES),N/A,Tenango del Valle
LÁCTEOS (CENTROS COMERCIALES),N/A,Tenango del Valle
PRODUCTOS DURADEROS (CENTROS COMERCIALES),N/A,Tenango del Valle
ABARROTES (CENTROS COMERCIALES),N/A,Tenango del Valle
MUEBLES (CENTROS COMERCIALES),N/A,Tenango del Valle
ROPA (CENTROS COMERCIALES),N/A,Tenango del Valle
APARATOS ELECTRÓNICOS (CENTROS COMERCIALES),N/A,Tenango del Valle
MATERIALES DE CONSTRUCCIÓN (CENTROS COMERCIALES),N/A,Tenango del Valle
MAQUINARIA  (CENTROS COMERCIALES),N/A,Tenango del Valle
REFRESCOS (CENTROS COMERCIALES),N/A,Tenango del Valle
ESTACIONAMIENTO (HORIZONTAL),N/A,Tenango del Valle
