nombre,materia,duracion,norma,antes,durante,despues,sancion,dependency_name,giros,requerimientos
Notificación o Mandamiento de Autoridad,Desarrollo Económico,10 minutos,Artículo 128 del Código de Procedimientos Administrativos,1.- Recorrido para la idenficación de establecimientos /2.- Invitación de regularización /3.- Asignar número de expediente,1.- Presentarse ante el titular del negocio/ 2.- Idenficarse como inspector notificador habilitado /3.-Dirigirse de manera respetuosa y cortes durante todo el tiempo que dure la notificación/ 4.- Se indica el motivo de la visita,"1.- Se notifica a la persona que atiende la diligencia cuáles son las observaciones finales /2- Se solicita la firma de la persona visitada, en caso de no encontrarse el propietario se le notifica citatorio de espera para el siguiente día hábil /3- Se despide de manera cortes y se recuerda que tienen que asistir a la Dirección de Desarrollo Económico que se le elabore su licencia de funcionamiento.",-,Dirección de Desarrollo Económico,"Abarrotes, Misceláneas y Lonjas Mercantiles (sin venta de bebidas alcohólicas); Agencia de colocación de personal (oficinas); Agencia de limpieza y mantenimiento (oficinas); Agencia de modelos y edecanes (oficinas); Agencia de publicidad; Agencia de seguridad privada (oficinas); Agencia de viajes; Agencia pronósticos deportivos; Albañilería; Alquiler de automóviles; Alquiler de disfraces; Alquiler de equipo agropecuario; Alquiler de equipo de audio y video; Alquiler de equipo de computo; Alquiler de instrumentos musicales; Alquiler de maquinaria para la industria de la construcción; Alquiler de maquinaria y equipo para la industria manufacturera; Alquiler de mobiliario para eventos; Alquiler de ropa de etiqueta; Alquiler de sanitarios públicos; Alquiler de transporte de carga; Arquitectos e ingenieros civiles; Artesanías; Artículos esotéricos; Artículos ortopédicos/ Venta de prótesis y Material quirúrgico; Artículos para bebé; Artículos religiosos; Artículos usados de uso doméstico; Blancos; Bolería; Boutique; Bufete jurídico; Cafeterías (sin venta y/o sin consumo de bebidas alcohólicas); Carnicería; Carpintería; Carpintería (instalación); Centro de copiado; Centros de consultorios y de salud;  unidades de primer contacto; Centros de integración juvenil; Cerrajería; CiberCafé; Clases de Baile; Clases de Modelaje; Cocinas económicas y Fondas (sin venta y/o sin consumo de bebidas alcohólicas); Comercio de artículos electrodomésticos; Comercio de bicicletas; Comercio de cocinas integrales; Comercio de enseres eléctricos y línea blanca; Comercio de equipo de computo; Comercio de equipo de oficina; Comercio de equipo médico y de laboratorio; Comercio de forja artística; Comercio de instrumentos musicales; Comercio de madera (para la construcción); Comercio de maquinaria para la industria agropecuaria, manufacturera y de la construcción nueva (sin venta de refacciones); Comercio de maquinaria para la industria agropecuaria, manufacturera y de la construcción nueva (sin venta de refacciones); Comercio de materia prima y artículos para fiestas; Comercio de sombreros y/o gorras; Comercio de textiles; Compañía de limpieza (oficinas); Compañía de seguros; Compra y venta de productos de arte; Consultorías; Consultorio de nutrición ; Consultorio de quiropráctico; Consultorio médico; Consultorio médico veterinario; Consultorio psicológico; Consultorios dentales; Cremería y salchichonería; Decoración; Depósito de materiales reciclables; Diseño industrial; Dulcería; Escritorios públicos; Escuelas de manejo; Estudio fotográfico; Estudio y Venta de artículos fotográficos; Expendio de pan; Farmacia; Farmacia Homeopática; Filatelia y numismática; Florería; Galería de arte; Gimnasio; Imprenta; Ingeniería industrial; Inmobiliaria (oficinas); Interpretes traductores; Jarcería; Joyerías; Jugos y licuados (sin venta y/o sin consumo de bebidas alcohólicas); Juguetería; Lavado de alfombras, tapetes y similares; Librería; Loncherías y antojitos (sin venta y/o sin consumo de bebidas alcohólicas); Máquinas expendedoras de mercancía; Mercería y bonetería; Merenderos (sin venta y/o sin consumo de bebidas alcohólicas); Molino de Nixtamal; Mueblerías; Mudanza; Muros falsos; Notaria pública; Ópticas y consultorios oftalmológicos; Orfebrería; Organización de eventos; Ostionerías (sin venta y/o sin consumo de bebidas alcohólicas); Panadería; Papelería; Pastelería; Peletería; Peletería y neverías / fuente de sodas (sin venta y/o sin consumo de bebidas alcohólicas); Peluquerías; Perfumería; Periódicos y revistas; Pescaderías y marisquerías; Pisos, azulejos y baños; Pizzerías (sin venta y/o sin consumo de bebidas alcohólicas); Plomería; Pollería; Producción de video, videoclip y material audiovisual; Productos de belleza ; Recaudería ; Regalos; Relojerías; Renta de inflables; Reparación de calzado; Reparación y mantenimiento de aparatos para el hogar; Restaurantes (sin venta y/o sin consumo de bebidas alcohólicas); Rosticería (con consumo en el lugar) (sin venta y/o sin consumo de bebidas alcohólicas); Rosticería (sin consumo en el lugar); Salón de belleza y estética; Serigrafía/Imprenta; Servicio de mensajería y paquetería; Servicios de enfermería; Servicios funerarios; Servicios veterinarios para ganadería; Servicios veterinarios para la ganadería; Servicios veterinarios para mascotas; Sistemas de seguridad; Spa; Suministro de alimentos a empresas (sin venta y/o sin consumo de bebidas alcohólicas); Suministro de buffets y banquetes (sin venta y/o sin consumo de bebidas alcohólicas); Tabaquería; Talabartería (comercio); Taller de bicicletas; Taller de cancelería y aluminio; Tapicería y reparación de muebles de asiento; Taquerías (sin venta y/o sin consumo de bebidas alcohólicas); Telas, casimires y similares; Telefonía celular; Tienda naturista; Tiendas veterinarias; Tlapalería/Ferretería; Torterías (sin venta y/o sin consumo de bebidas alcohólicas); Tortillería; Venta  (nueva) y Renta de maquinaria para la industria agropecuaria, manufacturera y de la construcción (sin venta de refacciones); Venta de alimentos preparados (sin venta y/o sin consumo de bebidas alcohólicas); Venta de artículos deportivos; Venta de maquinaria agrícola nueva (sin venta de refacciones); Venta de material sanitario; Venta de mercancía por telecomunicaciones; Venta de pañales desechables; Venta de productos de Cantera; Venta de productos por correo o catálogos; Venta de uniformes; Venta/renta de CD-DVD; Vestidos de novia; Videoclub; Vivero ; Vulcanizadora; Zapatería; Actividades o eventos de alto impacto social; Actividades deportivas o culturales; Gasolineras, gaseras; Venta y/o distribución de bebidas alcohólicas en envase abierto y/o al copeo ; Venta de bebidas alcohólicas en botella cerrada; Enajenación, reparación o mantenimiento de vehículos automotores ; Escuelas; Baños públicos; Purificadora con venta de agua; Lavado de autos; Industrial; Comercialización y distribución; Servicios; Comerciales ; Bodegas; Producción de alimentos; Textil; Industria automotriz; Comercialización, distribución y fabricación; Comercial automotriz; Financiero; Transporte; Educación; Investigación y desarrollo tecnológico; Construcción; Extracción; ",Cedula de notificación; Mandamiento de Autoridad; Identificación del personal y oficio de comisión 
Verificación,Desarrollo Económico,30 minutos,Artículo 128 y 129 del Código de Procedimientos Administrativos,1.- Identificar el establecimiento /2.- Haber transcurrido el termino legal notificado,1.- Presentarse ante el titular del negocio/ 2.- Idenficarse como personal habilitado / 3.- Dirigirse de manera respetuosa y cortes durante todo el tiempo que dure la verificación /4.- Solicitar la documentación requerida en el Mandamiento de Autoridad,1.- Se procede al levantamiento del Acta de Visita y Verificación / 2.- Del analisís del Acta de Visita y Verificación si se identifica que el particular no cuenta con los requisitos legales para su legal funcionamiento se procede dependiendo el giro y la gravedad de la infracción a la suspension provisional del establecimiento notificando en el mismo acto al propietario y/o representante legal el citatorio para el desahogo de su garantía de audiencia /3.-Analisis y desahogo del Acta de Visita de Verificacón y entrega de Citatorio de Ofrecimiento de Pruebas y Garantía de Audiencia/ 4.-Acude el propietario y/o representante legal a la Direccion de Desarrollo Economico para el desahogo de la Garantía de Audencia presentando pruebas /5.- El titular del area correspondiente desahoga la Garantia de Audiencia para su posterior notificación de resolución /6.- Resolución la cual contempla las sanciones estipuladas en el Codigo de Administrativo y Leyes Aplicables,"Multas o Clausuras (""temporales o definitivas"") del Código de Administrativo y Leyes Aplicables según sea el caso",Dirección de Desarrollo Económico,"Abarrotes, Misceláneas y Lonjas Mercantiles (sin venta de bebidas alcohólicas); Agencia de colocación de personal (oficinas); Agencia de limpieza y mantenimiento (oficinas); Agencia de modelos y edecanes (oficinas); Agencia de publicidad; Agencia de seguridad privada (oficinas); Agencia de viajes; Agencia pronósticos deportivos; Albañilería; Alquiler de automóviles; Alquiler de disfraces; Alquiler de equipo agropecuario; Alquiler de equipo de audio y video; Alquiler de equipo de computo; Alquiler de instrumentos musicales; Alquiler de maquinaria para la industria de la construcción; Alquiler de maquinaria y equipo para la industria manufacturera; Alquiler de mobiliario para eventos; Alquiler de ropa de etiqueta; Alquiler de sanitarios públicos; Alquiler de transporte de carga; Arquitectos e ingenieros civiles; Artesanías; Artículos esotéricos; Artículos ortopédicos/ Venta de prótesis y Material quirúrgico; Artículos para bebé; Artículos religiosos; Artículos usados de uso doméstico; Blancos; Bolería; Boutique; Bufete jurídico; Cafeterías (sin venta y/o sin consumo de bebidas alcohólicas); Carnicería; Carpintería; Carpintería (instalación); Centro de copiado; Centros de consultorios y de salud;  unidades de primer contacto; Centros de integración juvenil; Cerrajería; CiberCafé; Clases de Baile; Clases de Modelaje; Cocinas económicas y Fondas (sin venta y/o sin consumo de bebidas alcohólicas); Comercio de artículos electrodomésticos; Comercio de bicicletas; Comercio de cocinas integrales; Comercio de enseres eléctricos y línea blanca; Comercio de equipo de computo; Comercio de equipo de oficina; Comercio de equipo médico y de laboratorio; Comercio de forja artística; Comercio de instrumentos musicales; Comercio de madera (para la construcción); Comercio de maquinaria para la industria agropecuaria, manufacturera y de la construcción nueva (sin venta de refacciones); Comercio de maquinaria para la industria agropecuaria, manufacturera y de la construcción nueva (sin venta de refacciones); Comercio de materia prima y artículos para fiestas; Comercio de sombreros y/o gorras; Comercio de textiles; Compañía de limpieza (oficinas); Compañía de seguros; Compra y venta de productos de arte; Consultorías; Consultorio de nutrición ; Consultorio de quiropráctico; Consultorio médico; Consultorio médico veterinario; Consultorio psicológico; Consultorios dentales; Cremería y salchichonería; Decoración; Depósito de materiales reciclables; Diseño industrial; Dulcería; Escritorios públicos; Escuelas de manejo; Estudio fotográfico; Estudio y Venta de artículos fotográficos; Expendio de pan; Farmacia; Farmacia Homeopática; Filatelia y numismática; Florería; Galería de arte; Gimnasio; Imprenta; Ingeniería industrial; Inmobiliaria (oficinas); Interpretes traductores; Jarcería; Joyerías; Jugos y licuados (sin venta y/o sin consumo de bebidas alcohólicas); Juguetería; Lavado de alfombras, tapetes y similares; Librería; Loncherías y antojitos (sin venta y/o sin consumo de bebidas alcohólicas); Máquinas expendedoras de mercancía; Mercería y bonetería; Merenderos (sin venta y/o sin consumo de bebidas alcohólicas); Molino de Nixtamal; Mueblerías; Mudanza; Muros falsos; Notaria pública; Ópticas y consultorios oftalmológicos; Orfebrería; Organización de eventos; Ostionerías (sin venta y/o sin consumo de bebidas alcohólicas); Panadería; Papelería; Pastelería; Peletería; Peletería y neverías / fuente de sodas (sin venta y/o sin consumo de bebidas alcohólicas); Peluquerías; Perfumería; Periódicos y revistas; Pescaderías y marisquerías; Pisos, azulejos y baños; Pizzerías (sin venta y/o sin consumo de bebidas alcohólicas); Plomería; Pollería; Producción de video, videoclip y material audiovisual; Productos de belleza ; Recaudería ; Regalos; Relojerías; Renta de inflables; Reparación de calzado; Reparación y mantenimiento de aparatos para el hogar; Restaurantes (sin venta y/o sin consumo de bebidas alcohólicas); Rosticería (con consumo en el lugar) (sin venta y/o sin consumo de bebidas alcohólicas); Rosticería (sin consumo en el lugar); Salón de belleza y estética; Serigrafía/Imprenta; Servicio de mensajería y paquetería; Servicios de enfermería; Servicios funerarios; Servicios veterinarios para ganadería; Servicios veterinarios para la ganadería; Servicios veterinarios para mascotas; Sistemas de seguridad; Spa; Suministro de alimentos a empresas (sin venta y/o sin consumo de bebidas alcohólicas); Suministro de buffets y banquetes (sin venta y/o sin consumo de bebidas alcohólicas); Tabaquería; Talabartería (comercio); Taller de bicicletas; Taller de cancelería y aluminio; Tapicería y reparación de muebles de asiento; Taquerías (sin venta y/o sin consumo de bebidas alcohólicas); Telas, casimires y similares; Telefonía celular; Tienda naturista; Tiendas veterinarias; Tlapalería/Ferretería; Torterías (sin venta y/o sin consumo de bebidas alcohólicas); Tortillería; Venta  (nueva) y Renta de maquinaria para la industria agropecuaria, manufacturera y de la construcción (sin venta de refacciones); Venta de alimentos preparados (sin venta y/o sin consumo de bebidas alcohólicas); Venta de artículos deportivos; Venta de maquinaria agrícola nueva (sin venta de refacciones); Venta de material sanitario; Venta de mercancía por telecomunicaciones; Venta de pañales desechables; Venta de productos de Cantera; Venta de productos por correo o catálogos; Venta de uniformes; Venta/renta de CD-DVD; Vestidos de novia; Videoclub; Vivero ; Vulcanizadora; Zapatería; Actividades o eventos de alto impacto social; Actividades deportivas o culturales; Gasolineras, gaseras; Venta y/o distribución de bebidas alcohólicas en envase abierto y/o al copeo ; Venta de bebidas alcohólicas en botella cerrada; Enajenación, reparación o mantenimiento de vehículos automotores ; Escuelas; Baños públicos; Purificadora con venta de agua; Lavado de autos; Industrial; Comercialización y distribución; Servicios; Comerciales ; Bodegas; Producción de alimentos; Textil; Industria automotriz; Comercialización, distribución y fabricación; Comercial automotriz; Financiero; Transporte; Educación; Investigación y desarrollo tecnológico; Construcción; Extracción; ",Mandamiento de Autoridad; Acta de visita; Identificación del personal y Oficio de comisión 
